1957	09	18	CL	BR	1	1	OHC		6	1728	1973	+1	0	21	4
1958	05	04	BR	PY	5	1	OCC		7	1980	1740	0	0	4	21
1958	05	07	BR	PY	0	0	OCC		-11	1969	1751	0	+2	4	19
1958	05	14	BR	BG	4	0	F		4	1973	1690	0	0	4	30
1958	05	18	BR	BG	3	1	F		3	1976	1687	0	0	4	30
1958	06	08	BR	AT	3	0	WC	SE	42	2018	1864	+2	−3	2	11
1958	06	11	BR	EN	0	0	WC	SE	-1	2017	2006	0	0	2	3
1958	06	15	BR	SU	2	0	WC	SE	35	2052	1907	+1	−3	1	9
1958	06	19	BR	WA	1	0	WC	SE	12	2064	1797	0	+1	1	14
1958	06	24	BR	FR	5	2	WC	SE	33	2097	1893	0	−5	1	10
1958	06	29	SE	BR	2	5	WC		-45	1900	2142	−4	0	9	1
1959	03	10	BR	PE	2	2	SA	AR	-20	2122	1769	0	+4	1	17
1959	03	15	BR	CL	3	0	SA	AR	5	2127	1635	0	0	1	39
1959	03	21	BR	BO	4	2	SA	AR	3	2130	1557	0	−1	1	55
1959	03	26	BR	UY	3	1	SA	AR	16	2146	1888	0	−2	1	9
1959	03	29	BR	PY	4	1	SA	AR	9	2155	1755	0	−3	1	21
1959	04	04	AR	BR	1	1	SA		5	1996	2150	0	0	2	1
1959	05	13	BR	EN	2	0	F		5	2155	1947	0	0	1	4
1959	09	17	BR	CL	7	0	OHC		3	2158	1713	0	−1	1	30
1959	09	20	BR	CL	1	0	OHC		1	2159	1712	0	0	1	30
1959	12	05	BR	PY	3	2	SA	EC	6	2165	1797	0	0	1	15
1959	12	12	UY	BR	3	0	SA	EC	77	1890	2088	+5	0	9	1
1959	12	19	EC	BR	1	3	SA		-1	1256	2089	0	0	115	1
1959	12	22	AR	BR	4	1	SA	EC	65	1974	2024	+4	0	3	1
1959	12	27	EC	BR	1	2	F		-1	1324	2025	0	0	104	1
1960	03	06	BR	MX	2	2	PAC	CR	-15	2010	1790	0	0	1	16
1960	03	10	CR	BR	3	0	PAC		61	1830	1949	+4	−2	14	3
1960	03	13	AR	BR	2	1	PAC	CR	23	2002	1926	+1	−3	1	6
1960	03	15	BR	MX	2	1	PAC	CR	15	1941	1772	+3	−1	3	18
1960	03	17	CR	BR	0	4	PAC		-40	1751	1981	−8	0	24	3
1960	03	20	BR	AR	1	0	PAC	CR	30	2011	2015	+1	0	2	1
1960	04	29	RR	BR	0	5	F		-12	1753	2023	−2	+1	22	1
1960	05	01	RR	BR	1	3	F		-8	1745	2031	−2	0	24	1
1960	05	06	RR	BR	0	3	F		-9	1736	2040	0	0	24	1
1960	05	26	AR	BR	4	2	ROC		18	2033	2022	+1	−1	1	2
1960	05	29	AR	BR	1	4	ROC		-34	1999	2056	−1	+1	2	1
1960	06	29	BR	CL	4	0	F		3	2059	1698	0	−1	1	31
1960	07	03	PY	BR	1	2	ATL		-6	1714	2065	0	0	28	1
1960	07	09	UY	BR	1	0	ATL		16	1953	2049	0	0	5	1
1960	07	12	BR	AR	5	1	ATL		17	2066	1985	0	−2	1	4
1961	04	30	PY	BR	0	2	OCC		-7	1667	2073	−2	0	34	1
1961	05	03	PY	BR	2	3	OCC		-4	1663	2077	0	0	34	1
1961	05	07	CL	BR	1	2	OHC		-6	1728	2083	+1	0	22	1
1961	05	11	CL	BR	0	1	OHC		-6	1722	2089	−1	0	23	1
1961	06	29	BR	PY	3	2	F		1	2090	1668	0	0	1	36
1962	04	21	BR	PY	6	0	OCC		3	2093	1657	0	0	1	39
1962	04	24	BR	PY	4	0	OCC		2	2095	1655	0	0	1	39
1962	05	06	BR	PT	2	1	F		1	2096	1651	0	0	1	40
1962	05	09	BR	PT	1	0	F		1	2097	1650	0	0	1	40
1962	05	12	BR	WA	3	1	F		3	2100	1807	0	0	1	15
1962	05	16	BR	WA	3	1	F		3	2103	1804	0	0	1	15
1962	05	30	BR	MX	2	0	WC	CL	14	2117	1795	0	−1	1	16
1962	06	02	BR	CS	0	0	WC	CL	-9	2108	2015	0	0	1	3
1962	06	06	BR	ES	2	1	WC	CL	17	2125	1936	0	−3	1	9
1962	06	10	BR	EN	3	1	WC	CL	23	2148	1912	0	0	1	9
1962	06	13	CL	BR	2	4	WC		-19	1797	2167	0	0	16	1
1962	06	17	BR	CS	3	1	WC	CL	28	2195	1999	0	−1	1	3
1963	03	03	PY	BR	2	2	F		9	1661	2186	+2	0	36	1
1963	03	10	BR	PE	1	0	SA	BO	3	2189	1681	0	−1	1	30
1963	03	14	BR	CO	5	1	SA	BO	1	2190	1453	0	0	1	79
1963	03	17	PY	BR	2	0	SA	BO	71	1742	2119	+10	0	23	1
1963	03	24	AR	BR	3	0	SA	BO	66	1989	2053	+4	0	3	1
1963	03	27	BR	EC	2	2	SA	BO	-24	2029	1347	0	+2	1	103
1963	03	31	BO	BR	5	4	SA		41	1707	1988	+8	−1	26	2
1963	04	13	BR	AR	2	3	ROC		-21	1967	1956	−1	+3	3	4
1963	04	16	BR	AR	5	2	ROC		18	1985	1938	0	−3	3	7
1963	04	21	PT	BR	1	0	F		16	1658	1969	+1	0	36	3
1963	04	24	BE	BR	5	1	F		28	1698	1941	+4	−1	29	4
1963	04	28	FR	BR	2	3	F		-9	1795	1950	0	+1	18	3
1963	05	02	NL	BR	1	0	F		14	1699	1936	+4	−3	29	6
1963	05	05	WG	BR	1	2	F		-13	1928	1949	−3	+3	7	3
1963	05	08	EN	BR	1	1	F		0	1864	1949	+1	0	13	3
1963	05	12	IT	BR	3	0	F		14	1931	1935	+2	−3	7	6
1963	05	17	EG	BR	0	1	F		-6	1687	1941	0	+1	33	5
1963	05	19	IL	BR	0	5	F		-7	1565	1948	−2	+2	56	3
1964	05	30	BR	EN	5	1	CON		21	1969	1932	+2	−3	3	6
1964	06	03	BR	AR	0	3	CON		-35	1934	1977	−2	+2	5	3
1964	06	07	BR	PT	4	1	CON		6	1940	1673	0	−1	5	34
1965	06	02	BR	BE	5	0	F		6	1946	1738	+1	−1	4	25
1965	06	06	BR	WG	2	0	F		9	1955	1881	+1	0	3	10
1965	06	09	BR	AR	0	0	F		-2	1953	1970	−1	0	4	2
1965	06	17	DZ	BR	0	3	F		-13	1743	1966	−1	0	24	4
1965	06	24	PT	BR	0	0	F		2	1795	1964	+1	0	19	4
1965	06	30	SE	BR	1	2	F		-9	1827	1973	−1	+1	15	3
1965	07	04	SU	BR	0	3	F		-23	1966	1996	−3	+2	4	1
1965	09	07	BR	UY	3	0	F		8	2004	1864	+1	−1	1	12
1965	11	21	BR	SU	2	2	F		-4	2000	1966	0	0	1	4
1965	11	21	BR	HU	5	3	F		11	2011	1983	0	0	1	3
1966	04	17	CL	BR	0	1	OHC		-9	1755	2020	−1	0	25	1
1966	04	20	CL	BR	2	1	OHC		22	1777	1998	+3	0	22	1
1966	05	14	BR	WA	3	1	F		3	2001	1706	0	0	1	29
1966	05	15	BR	CL	1	1	F		-7	1994	1777	−2	+1	3	20
1966	05	18	BR	WA	1	0	F		2	1996	1704	+1	0	2	29
1966	05	19	BR	CL	1	0	F		3	1999	1774	0	0	2	21
1966	06	04	BR	PE	4	0	F		2	2001	1619	0	0	2	42
1966	06	05	BR	PL	4	1	F		3	2004	1698	+1	0	1	30
1966	06	08	BR	PL	2	1	F		2	2006	1696	0	0	1	30
1966	06	08	BR	PE	3	1	F		2	2008	1617	0	−1	1	43
1966	06	12	BR	CS	2	1	F		5	2013	1894	0	−1	1	10
1966	06	15	BR	CS	2	2	F		-6	2007	1900	0	+1	1	9
1966	06	25	SQ	BR	1	1	F		3	1801	2004	0	0	17	1
1966	06	30	SE	BR	2	3	F		-6	1746	2010	−2	0	27	1
1966	07	12	BR	BG	2	0	WC	EN	21	2031	1783	0	−2	1	18
1966	07	15	HU	BR	3	1	WC	EN	62	1956	1969	+1	−5	7	6
1966	07	19	PT	BR	3	1	WC	EN	50	1979	1919	+3	−2	5	8
1967	06	25	UY	BR	0	0	RBC		-3	1892	1922	0	0	10	9
1967	06	28	UY	BR	2	2	RBC		-3	1889	1925	0	0	10	9
1967	07	01	UY	BR	1	1	RBC		-3	1886	1928	0	0	10	9
1967	09	19	CL	BR	0	1	F		-8	1759	1936	−2	+1	22	8
1968	06	09	BR	UY	2	0	RBC		13	1949	1868	+2	0	6	11
1968	06	12	BR	UY	4	0	RBC		15	1964	1853	+2	−3	5	14
1968	06	16	WG	BR	2	1	F		6	2014	1958	0	−1	2	6
1968	06	20	PL	BR	3	6	F		-11	1707	1969	0	+2	29	4
1968	06	23	CS	BR	3	2	F		9	1900	1960	0	−2	9	6
1968	06	25	YU	BR	0	2	F		-15	1854	1975	−3	+2	13	4
1968	06	30	BR	PT	2	0	F	MZ	14	1989	1938	+1	0	3	7
1968	07	07	MX	BR	0	2	F		-13	1818	2002	0	0	16	3
1968	07	10	MX	BR	2	1	F		12	1830	1990	0	0	16	3
1968	07	14	PE	BR	3	4	JCS		-5	1603	1995	−2	0	49	3
1968	07	17	PE	BR	0	4	JCS		-9	1594	2004	−1	0	50	3
